id_sucursal,nombre,direccion,email
1,ALMAGRO,Av. Medrano 1234,almagro_sport@hotmail.com
2,BALVANERA,Calle Bartolome Mitre 567,balvanera_sport@hotmail.com
3,BARRACAS,Av. Montes de Oca 789,barracas_sport@hotmail.com
4,RECOLETA,Calle Junin 4321,recoleta_sport@hotmail.com
5,CABALLITO,Av. Rivadavia 1356,caballito_sport@hotmail.com
6,COLEGIALES,Calle Federico Lacroze 2468,colegiales_sport@hotmail.com
7,CHACARITA,Av. Corrientes 3546,chacarita_sport@hotmail.com
8,VILLA ORTUZAR,Calle Tronador 789,villa ortuzar_sport@hotmail.com
9,MONTSERRAT,Av. de Mayo 1023,montserrat_sport@hotmail.com
10,PUERTO MADERO,Calle Juana Manso 5678,puerto madero_sport@hotmail.com
11,SAAVEDRA,Av. García del Rio 9012,saavedra_sport@hotmail.com
12,SAN CRISTOBAL,Calle Jujuy 345,san cristobal_sport@hotmail.com
13,SAN NICOLAS,Av. Corrientes 6789,san nicolas_sport@hotmail.com
14,PARQUE PATRICIOS,Calle Amancio Alcorta 123,parque patricios_sport@hotmail.com
15,PARQUE CHACABUCO,Av. Asamblea 4567,parque chacabuco_sport@hotmail.com
